displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
Amazon,1/24/13,Text-To-Speech products for B2B and B2C,IVONA Text-To-Speech,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/19/04,,Joyo.com,75000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/4/98,Product Comparison Shopping,Junglee,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,3/19/13,Kiva Systems offers a mobile-robotic fulfillment system for inventory distribution centers that help companies optimize their operations.,Kiva Systems,775000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,12/31/99,,Leep Technology,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/1/09,Lexcycle is a software development company that provides electronic book reading software.,Lexcycle,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,5/13/13,Liquavista is a display manufacturing company that offers electro-wetting displays.,Liquavista,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/12/99,,LiveBid,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,6/15/12,"LOVEFiLM is a movie subscription service of Amazon, delivering DVDs to members and providing access to an online database of movies.",LOVEFiLM,2500000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/21/05,Mobipocket.com became in a few years the leader for reading eBooks on mobile devices: read dozens of thousands titles on your PDA or on,Mobipocket.com,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,12/1/15,"Orbeus is a computer vision company providing a cloud-based visual computing solutionfor recognizing faces, scenes and objects.",Orbeus,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,12/1/01,OurHouse.com is an online retailer partnered with Ace Hardware.,OurHouse,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/11/18,PillPack is a company providing medication delivery by subscription. ,PillPack,753000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/4/98,,PlanetAll.com,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
