index,displayName,displayName_parent,id
279,Inscape,Herman Miller,1258671
280,Sephora,Lush,31566
281,L Brands,Lush,45896
282,L'Oreal,Lush,84216
283,Avon Products,Lush,195944
284,Natura & Co,Lush,1352761
285,ConAgra,J.M. Smucker,2025
286,Kellogg,J.M. Smucker,2032
287,Danone,J.M. Smucker,36778
288,McCormick & Company,J.M. Smucker,152641
289,Nestle,J.M. Smucker,247500
290,Booking Holdings,Mattel,1917
291,Brunswick,Mattel,10599
292,Hasbro,Mattel,118587
293,Carnival,Mattel,199451
294,Ethan Allen Interiors,Mohawk Industries,10634
295,Hooker Furniture,Mohawk Industries,12278
296,Bassett Furniture,Mohawk Industries,130175
297,Kimball International,Mohawk Industries,190526
298,Interface,Mohawk Industries,249311
299,Milliken & Company,Mohawk Industries,458106
300,Unilever,Newell Brands,2040
301,Clorox,Newell Brands,2055
302,Procter & Gamble,Newell Brands,2068
303,Avery Dennison,Newell Brands,10363
304,Fortune Brands Home & Security,Newell Brands,105197
305,Patagonia,Newell Brands,118596
306,Reynolds American,Philip Morris,11689
307,British American Tobacco,Philip Morris,82875
308,Japan Tobacco,Philip Morris,169127
309,Altria,Philip Morris,230419
310,UPM-Kymmene Oyj,Domtar,6569
311,Mondi,Domtar,9019
312,Packaging Corporation of America,Domtar,11135
313,Neenah Paper,Domtar,193528
314,Vector Group,Reynolds American,11867
315,Philip Morris,Reynolds American,120983
316,Japan Tobacco,Reynolds American,169127
317,Imperial Brands,Reynolds American,170417
318,Altria,Reynolds American,230419
319,Pax Labs,Reynolds American,244744
320,Coty,L'Oreal,65034
321,Revlon,L'Oreal,119025
322,CHANEL,L'Oreal,124233
323,Avon Products,L'Oreal,195944
324,Lush,L'Oreal,225232
325,Edgewell Personal Care,L'Oreal,249297
326,Target,Staples,11811
327,Alibaba,Staples,14986
328,RadioShack,Staples,20501
329,Office Depot,Staples,87961
330,Michael Kors,Kate Spade,1407298
331,Poshmark,Kate Spade,1555
332,Tradesy,Kate Spade,1607
333,Thread.com,Kate Spade,86060
334,Chico's FAS,RTW Retailwinds,246573
335,Armani,RTW Retailwinds,1312284
336,Xcel Brands,RTW Retailwinds,249788
337,Ludwig Beck,RTW Retailwinds,251860
338,The Home Depot,Williams-Sonoma,11091
339,Wayfair,Williams-Sonoma,18081
340,Fortune Brands Home & Security,Williams-Sonoma,105197
341,Kirkland's,Williams-Sonoma,194508
342,Lowe's,Williams-Sonoma,233721
343,Anstel,Mothercare,355709
344,Zulily,Mothercare,838
345,Skechers,Mothercare,194669
346,Swap.com,Mothercare,41113
347,Jimmy Choo,Tapestry,1964
348,Bally,Tapestry,251273
349,Salvatore Ferragamo,Tapestry,403189
350,Tod's Group,Tapestry,461300
351,Johnson Outdoors,Vista Outdoor,12498
352,Burton,Vista Outdoor,241369
353,Amer Sports,Vista Outdoor,257468
354,Remington Arms Company,Vista Outdoor,951483
355,YETI Coolers,Vista Outdoor,1373722
356,U.S. Auto Parts Network,Advance Auto Parts,36205
357,TravelCenters of America,Advance Auto Parts,118946
358,Genuine Parts Company,Advance Auto Parts,123168
359,LKQ,Advance Auto Parts,149994
360,O'Reilly Auto Parts,Advance Auto Parts,247464
361,Samsung Electronics,Electrolux,259
362,LG,Electrolux,260
363,Panasonic,Electrolux,262
364,Sony,Electrolux,325
365,Bosch,Electrolux,37464
366,Macy's,Party City Holdco,1968
367,Target,Party City Holdco,11811
368,Walmart,Party City Holdco,11960
369,Wayfair,Party City Holdco,18081
370,J.C. Penney,The Container Store,1963
371,Kingfisher,The Container Store,8315
372,The Home Depot,The Container Store,11091
373,Lowe's,The Container Store,233721
374,Kroger,Tuesday Morning,11101
375,Gordmans Stores,Tuesday Morning,194477
376,NT International,Tuesday Morning,251200
377,Pearlridge Center,Tuesday Morning,251289
378,Moosejaw Mountaineering,Sportsman's Warehouse,43527
379,Cabela's,Sportsman's Warehouse,92677
380,Genesco,Sportsman's Warehouse,160810
381,Bass Pro Shops,Sportsman's Warehouse,254525
382,L.L.Bean,Sportsman's Warehouse,1100519
383,Sportsman's Warehouse,Cabela's,103787
384,L.L.Bean,Cabela's,1100519
385,DICK’S Sporting Goods,Cabela's,127859
386,Zappos,Cabela's,14866
387,Patch,Dunelm Group,28522
388,Decora Blind Systems,Dunelm Group,251074
389,Stein Mart,Dunelm Group,114747
390,Andrew James,Dunelm Group,1122051
391,Yonghui Superstores,PriceSmart,1397305
392,Sainsbury's,PriceSmart,9525
393,Farmigo,PriceSmart,55366
394,Flatfish,PriceSmart,250860
395,Kimberly-Clark,Unilever,1833
396,Newell Brands,Unilever,1836
397,Reckitt Benckiser,Unilever,2042
398,Colgate Palmolive,Unilever,2056
399,Johnson & Johnson,Unilever,2062
400,Procter & Gamble,Unilever,2068
401,Farmigo,Fred's,55366
402,Safeway,Fred's,20962
403,Save Mart Supermarkets,Fred's,254517
404,Gristedes,Fred's,254588
405,Kingfisher,Travis Perkins,8315
406,The Home Depot,Travis Perkins,11091
407,Huttig Building Products,Travis Perkins,12280
408,SIG,Travis Perkins,15985
409,CRH,Travis Perkins,129420
410,Lowe's,Travis Perkins,233721
411,Rheem Manufacturing,A.O. Smith,698064
412,Carrier,A.O. Smith,1396999
413,Faucet Parts Store,A.O. Smith,1365817
414,Heat Transfer Equipment,A.O. Smith,1239976
415,Mattel,Hasbro,15351
416,LEGO,Hasbro,98577
417,Zapf Creation,Hasbro,251780
418,Nickelodeon,Hasbro,66756
419,Zulily,Wish,838
420,Poshmark,Wish,1555
421,eBay,Wish,14820
422,Wanelo,Wish,44977
423,ASOS,Wish,98474
424,Target,Ikea,11811
425,Walmart,Ikea,11960
426,Amazon,Ikea,11981
427,Wayfair,Ikea,18081
428,Ashley Furniture Industries,Ikea,122621
429,Bed Bath & Beyond,Ikea,194176
430,Ahold Delhaize,Ingles Markets,251796
431,Asda,Ingles Markets,135561
432,Village Super Market,Ingles Markets,13086
433,Carrefour,Ingles Markets,31219
434,Safeway,Smart & Final,20962
435,Albertsons,Smart & Final,254386
436,Stater Bros,Smart & Final,254505
437,WinCo Foods,Smart & Final,254507
438,TravelCenters of America,CST Brands,118946
439,Applegreen,CST Brands,157379
440,Murphy USA,CST Brands,11442
441,Holiday Companies,CST Brands,254656
442,Debenhams,John Lewis,8075
443,Ocado,John Lewis,1915
444,House of Fraser,John Lewis,256325
445,Lazada,John Lewis,100882
446,Sovereign,Multi-Color Corporation,250877
447,Sigma Plastics Group,Multi-Color Corporation,254682
448,Devro,Multi-Color Corporation,7639
449,Novolex,Multi-Color Corporation,230460
450,Burlington Stores,Stein Mart,1957
451,Ross Stores,Stein Mart,118496
452,Decora Blind Systems,Stein Mart,251074
453,Ermes Department Stores,Stein Mart,459426
454,Welbilt,Primo Water,249339
455,Soma,Primo Water,1430
456,SodaStream,Primo Water,12883
457,WMF Group,Primo Water,250668
458,Kroger,Publix,11101
459,Whole Foods Market,Publix,28702
460,Carrefour,Publix,31219
461,Sprouts Farmers Markets,Publix,146391
462,Seven & I Holding,Publix,170549
463,RKW,CTI Industries,251473
464,Superplastic,CTI Industries,1411453
465,JAKKS Pacific,CTI Industries,121949
466,AS Company,CTI Industries,906257
467,Mondelez International,Tootsie Roll Industries,124057
468,Pieno Zvaigzdes,Tootsie Roll Industries,1099938
469,Migros Ticaret,Tootsie Roll Industries,1345078
470,Dripkit,Tootsie Roll Industries,1348753
471,Reynolds American,Altria,11689
472,British American Tobacco,Altria,82875
473,Philip Morris,Altria,120983
474,Imperial Brands,Altria,170417
475,Mohawk Industries,Kimball International,11437
476,Steelcase,Kimball International,76589
477,Essendant,Kimball International,247447
478,Devon Office Furniture,Kimball International,779747
479,Altria,Imperial Brands,230419
480,Reynolds American,Imperial Brands,11689
481,British American Tobacco,Imperial Brands,82875
482,Japan Tobacco,Imperial Brands,169127
483,HNI Corporation,Knoll,10867
484,Inscape,Knoll,1258671
485,smartphoto,Knoll,252239
486,Shopsurya,Knoll,259214
487,Sainsbury's,Morrisons,9525
488,Ocado,Morrisons,1915
489,Whole Foods Market,Morrisons,28702
490,Alimentation Couche-Tard,Morrisons,251514
491,Cello,The Scotts Miracle-Gro,1398334
492,Andrew James,The Scotts Miracle-Gro,1122051
493,Decora Blind Systems,The Scotts Miracle-Gro,251074
494,Stein Mart,The Scotts Miracle-Gro,114747
495,Anarchy Street,Secret Sales,259437
496,Stella & Dot,Secret Sales,66873
497,Yoogi's Closet,Secret Sales,39468
498,CaratLane,Secret Sales,73090
499,Sofar Sounds,Gear4music,145458
500,The Mill,Gear4music,161231
501,PonoMusic,Gear4music,167566
502,Deezer,Gear4music,159
503,DrinkMore Water,Crystal Rock Holdings,899897
504,Tandy Leather Factory,Crystal Rock Holdings,12798
505,Manutan International,Crystal Rock Holdings,517327
506,Web Commerce Partners,Crystal Rock Holdings,556617
507,Farfetch,Topshop Topman,1594
508,Zalando,Topshop Topman,55713
509,Boohoo,Topshop Topman,168090
510,House of Fraser,Topshop Topman,256325
511,Bestseller,Topshop Topman,1381987
512,Newell Brands,Tupperware Brands,1836
513,Lifetime Brands,Tupperware Brands,138719
514,Acqua Di Parma,Tupperware Brands,747315
515,Armani,Tupperware Brands,1312284
516,VF Corporation,Hanesbrands,1590
517,Nike,Hanesbrands,1973
518,Gildan Activewear,Hanesbrands,10650
519,Adidas,Hanesbrands,28853
520,Kimball International,Libbey,190526
521,Samuel Heath and Sons,Libbey,8844
522,Balta Group,Libbey,769995
523,Brintons,Libbey,859690
524,Casper,Mattress Firm,194453
525,Saatva,Mattress Firm,54706
526,eLuxury,Mattress Firm,246701
527,Leesa Sleep,Mattress Firm,255921
528,Royal Bank Of Canada,Toronto-Dominion Bank (TD),2011
529,Bank of Montreal (BMO),Toronto-Dominion Bank (TD),21657
530,Canadian Imperial Bank of Commerce (CIBC),Toronto-Dominion Bank (TD),96486
531,Bank of Nova Scotia (Scotiabank),Toronto-Dominion Bank (TD),256620
532,Desjardins,Toronto-Dominion Bank (TD),283503
533,Orchestra Premaman,JAKKS Pacific,1357833
534,Tricae,JAKKS Pacific,259291
535,Zapf Creation,JAKKS Pacific,251780
536,WeVeel (Scentos),JAKKS Pacific,3100
537,BlueFire Renewables,HB Fuller,59493
538,LORD Corporation,HB Fuller,94950
539,Greenwell Solutions,HB Fuller,251506
540,Lincolnway Energy,HB Fuller,257498
541,Bostik,HB Fuller,492818
542,American Locker,Macfarlane Group,257013
543,CDS Moving Equipment,Macfarlane Group,1185840
544,Safestore,Macfarlane Group,9518
545,Extra Space Storage,Macfarlane Group,100449
546,CTI Industries,Sugarmade,12018
547,Loop,Sugarmade,1378194
