,displayName,tags,major_tags
1367,HumanWare,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'Technology', 'app development']","['Manufacturing & Industrial', 'Technology']"
1368,Bittylab,"['consumer goods', 'Manufacturing & Industrial', 'healthtech', 'medical devices', 'kids']",['Manufacturing & Industrial']
1369,Rockline Industries,"['consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1370,SportsJam,"['consumer goods', 'ecommerce', 'platform', 'Technology', 'Retail']","['Technology', 'Retail']"
1371,Guardian Industrial Supply Group,"['consumer goods', 'distribution', 'ecommerce', 'Retail']",['Retail']
1372,ElInvento,"['consumer goods', 'metal products', 'Manufacturing & Industrial', 'accessories', 'distribution']",['Manufacturing & Industrial']
1373,Package Free,"['consumer goods', 'ecommerce', 'waste management', 'Retail']",['Retail']
1374,Shiseido,"['consumer goods', 'Manufacturing & Industrial', 'cosmetics']",['Manufacturing & Industrial']
1375,Larson-Juhl,"['consumer goods', 'Manufacturing & Industrial', 'wood product', 'distribution']",['Manufacturing & Industrial']
1376,Icelandic Glacial,"['groceries', 'consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1377,1-800 Flowers,"['Food & Beverage', 'consumer products & services', 'distribution', 'ecommerce', 'jewellery', 'gifts', 'Retail']","['Food & Beverage', 'Retail']"
1378,Malabar Golds and Diamonds,"['consumer goods', 'Manufacturing & Industrial', 'luxury', 'ecommerce', 'jewellery', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1379,Fakir Apparels,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'accessories', 'clothing']",['Manufacturing & Industrial']
1380,DayGlo Color,"['consumer goods', 'Manufacturing & Industrial', 'Technology', 'chemicals']","['Manufacturing & Industrial', 'Technology']"
1381,Pitco Foods,"['groceries', 'consumer goods', 'health & beauty', 'distribution', 'beverages', 'Retail', 'nutrition']",['Retail']
1382,Nine West,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'clothing', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1383,Diptyque,"['consumer goods', 'health & beauty', 'cosmetics', 'accessories', 'distribution', 'Retail']",['Retail']
1384,The Legacy Companies,"['consumer goods', 'Manufacturing & Industrial', 'Business Products & Services', 'appliances']","['Manufacturing & Industrial', 'Business Products & Services']"
1385,Merritt Square Mall,"['consumer goods', 'accessories', 'distribution', 'clothing', 'art', 'Retail', 'department stores', 'fashion', 'footwear']",['Retail']
1386,Aloette Cosmetics,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'cosmetics']",['Manufacturing & Industrial']
1387,Feizy,"['consumer goods', 'Manufacturing & Industrial', 'home improvement']",['Manufacturing & Industrial']
1388,Martin Sprocket & Gear,"['consumer goods', 'Manufacturing & Industrial', 'distribution', 'engineering', 'electronic components']",['Manufacturing & Industrial']
1389,Advantage Solutions,"['consumer goods', 'marketing agency', 'Business Products & Services', 'business intelligence']",['Business Products & Services']
