,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
50,[],public,Whirlpool,1911,{'url': 'https://uploads5.craft.co/uploads/company/logo/405xx/40514/normal_c8a81854d7a06e2f.jpg'},,WHR,9915294160.0,19300000 USD,9915294160 USD
51,[],public,Murphy USA,1996,{'url': 'https://uploads4.craft.co/uploads/company/logo/114xx/11442/normal_47dd22f563997a22.png'},,MUSA,2722245500.0,0 USD,2722245500 USD
52,[],public,Walgreens Boots Alliance,2014,{'url': 'https://uploads5.craft.co/uploads/company/logo/133xx/13332/normal_89a8d77c0c400ced.png'},,WBA,47026656010.0,0 USD,47026656010 USD
53,[],public,RPM International,1947,{'url': 'https://uploads2.craft.co/uploads/company/logo/1495xx/149515/normal_5ccf49ea52da9d12.png'},,RPM,8674295200.0,0 USD,8674295200 USD
54,[],public,Kimberly-Clark,1872,{'url': 'https://uploads5.craft.co/uploads/company/logo/18xx/1833/normal_439393fbb9fcc8c5.png'},,KMB,47275870000.0,0 USD,47275870000 USD
55,[],public,Sleep Number,1987,{'url': 'https://uploads3.craft.co/uploads/company/logo/132xx/13216/normal_1a851a9eb8801b43.png'},,SNBR,1274377580.0,45000000 USD,1274377580 USD
56,[],public,Herman Miller,1905,{'url': 'https://uploads1.craft.co/uploads/company/logo/1534xx/153476/normal_2277606c0ec53597.jpg'},,MLHR,2601328700.0,0 USD,2601328700 USD
57,[],private,Lush,1995,{'url': 'https://uploads3.craft.co/uploads/company/logo/2252xx/225232/normal_cbf823ed570fc4f0.png'},,,,0 USD,
58,[],public,J.M. Smucker,1897,{'url': 'https://uploads3.craft.co/uploads/company/logo/1153xx/115374/normal_t1OEutO4.jpeg'},,SJM,12121021440.0,0 USD,12121021440 USD
59,[],public,Mattel,1945,{'url': 'https://uploads3.craft.co/uploads/company/logo/153xx/15351/normal_b552dc362734947f.jpg'},,MAT,3679947750.0,0 USD,3679947750 USD
60,[],public,Mohawk Industries,1878,{'url': 'https://uploads3.craft.co/uploads/company/logo/114xx/11437/normal_ea1c1e222722b829.png'},,MHK,8884137325.0,0 USD,8884137325 USD
61,[],public,Newell Brands,1903,{'url': 'https://uploads2.craft.co/uploads/company/logo/18xx/1836/normal_50dd275626398606.jpg'},,NWL,7955686000.0,0 USD,7955686000 USD
62,[],public,Philip Morris,2008,{'url': 'https://uploads4.craft.co/uploads/company/logo/1209xx/120983/normal_010a2f93bc5fd985.png'},,PM,120499808000.0,0 USD,120499808000 USD
63,[],public,Domtar,1848,{'url': 'https://uploads4.craft.co/uploads/company/logo/104xx/10412/normal_ad3922359dd27be1.jpeg'},,UFS,2089020540.0,0 USD,2089020540 USD
64,[],subsidiary,Reynolds American,2004,{'url': 'https://uploads5.craft.co/uploads/company/logo/116xx/11689/normal_wPlqx2f5.png'},{'displayName': 'British American Tobacco'},,93276488400.0,0 USD,
65,[],public,L'Oreal,1909,{'url': 'https://uploads2.craft.co/uploads/company/logo/842xx/84216/normal_mef577idzz409piy4rrq.jpeg'},,OR.PA,103060000000.0,0 USD,
66,[],private,Staples,1986,{'url': 'https://uploads4.craft.co/uploads/company/logo/260xx/26032/normal_a406bbfdc10e0926.png'},,,6713750000.0,0 USD,
67,[],subsidiary,Kate Spade,1994,{'url': 'https://uploads1.craft.co/uploads/company/logo/19xx/1965/normal_0ef7c56f9c4ce9f0.jpg'},{'displayName': 'Tapestry'},KATE,2380000000.0,0 USD,
68,[],public,RTW Retailwinds,1918,{'url': 'https://uploads4.craft.co/uploads/company/logo/1945xx/194585/normal_NY_C_icon.jpg'},,RTW,89428120.0,0 USD,89428120 USD
69,[],public,Williams-Sonoma,1956,{'url': 'https://uploads2.craft.co/uploads/company/logo/838xx/83874/normal_b8bf2e9382c0ab3b.jpg'},,WSM,5073770660.0,3900000 USD,5073770660 USD
70,[],public,Mothercare,1961,{'url': 'https://uploads5.craft.co/uploads/company/logo/93xx/9340/normal_d2fME4SK.jpeg'},,MTC.L,164700000.0,0 USD,
71,[],public,Tapestry,1941,{'url': 'https://uploads3.craft.co/uploads/company/logo/19xx/1958/normal_3f426bea77d27389.jpeg'},,TPR,7132427400.0,0 USD,7132427400 USD
72,[],public,Vista Outdoor,2015,{'url': 'https://uploads1.craft.co/uploads/company/logo/2493xx/249378/normal_44773dc81dfc19e2.png'},,VSTO,346524000.0,0 USD,346524000 USD
